név,beosztás,szervezet,cím
Dr. Rózsa Szabolcs,egyetemi docens,BME; Általános és Felsõgeodéziai Tanszék,
Dr. Borbás Lajos,címzetes egyetemi tanár,BME KJK - Jármûelemek és Jármû-szerkezetanalízis Tanszék,St épület II. emelet 207
Dr. Takács Bence,egyetemi docens,BME; Általános és Felsõgeodéziai Tanszék,
Dr. Balázs L. György,egyetemi tanár,BME; Építõanyagok és Magasépítési Tanszék,
Dr. Dudás Annamária,egyetemi docens,BME; Építõanyagok és Magasépítési Tanszék,
Dr. Tóth Elek DLA,címzetes egyetemi tanár,BME; Építõanyagok és Magasépítési Tanszék,
Czoboly Olivér,doktornadusz,BME; Építõanyagok és Magasépítési Tanszék,
Dr. Stocker György,egyetemi docens,BME; Építõanyagok és Magasépítési Tanszék,
Dr. Barsi Árpád,egyetemi tanár,BME; Fotogrammetria és Térinformatika Tanszék,
Dr. Koppányi Zoltán,,BME; Fotogrammetria és Térinformatika Tanszék,
Dr. Török Ákos,egyetemi docens,BME; Geotechnika és Mérnökgeológia Tanszék,
Dr. Kopecskó Katalin,egyetemi docens,BME; Geotechnika és Mérnökgeológia Tanszék,
Dr. Dunai László,egyetemi tanár,BME; Hidak és Szerkezetek Tanszék,
Dr. Farkas György,egyetemi tanár,BME; Hidak és Szerkezetek Tanszék,
Dr. Horváth László,egyetemi docens,BME; Hidak és Szerkezetek Tanszék,
Dr. Bódi István,egyetemi docens,BME; Hidak és Szerkezetek Tanszék,
Dr. Haris István,adjunktus,BME; Hidak és Szerkezetek Tanszék,
Dr. Hegedûs István,Prof. Emeritus,BME; Hidak és Szerkezetek Tanszék,
Dr. Hunyadi Mátyás,adjunktus,BME; Hidak és Szerkezetek Tanszék,
Dr. Huszár Zsolt,adjunktus,BME; Hidak és Szerkezetek Tanszék,
Dr. Joó Attila László,egyetemi docens,BME; Hidak és Szerkezetek Tanszék,
Dr. Katula Levente Tamás,adjunktus,BME; Hidak és Szerkezetek Tanszék,
Dr. Kollár László P.,egyetemi tanár,BME; Hidak és Szerkezetek Tanszék,
